Structure_id,Urban,Year,Lanes_on,AverageDaily,Historic,Material,Spans,Length,Width,Trucks_percent,Condition
000021521-00101,Rural,2005,1,1,Not historic,Concrete,2,31.4,4.3,0,23
000021521-TMP20,Rural,2012,2,100,Not historic,Concrete,1,10.1,8.4,0,24
000021525-00012,Rural,1950,1,80,Not historic,Timber,14,45.4,3.7,0,18
000021580-00092,Rural,2004,2,150,Not historic,Concrete,1,25,7.3,4,23
000021580-00093,Rural,2005,2,150,Not historic,Concrete,2,49.1,8.5,4,24
000021594-62598,Rural,2017,2,20,Not historic,Timber,1,15.2,7.7,0,23
000021594-TMP06,Rural,1950,2,10,Not historic,Timber,7,32.6,7.6,0,14
000021594-TMP07,Rural,1950,2,40,Not historic,Timber,2,9.8,7.6,0,18
000021594-TMP08,Rural,1950,2,40,Not historic,Timber,10,46.3,7.6,0,18
000021594-TMP09,Rural,1950,2,40,Not historic,Timber,2,9.4,7.5,0,18
010600013603028,Rural,1934,2,4400,Not historic,Steel,5,43.6,12.6,13,18
010600013603131,Rural,2018,2,5000,Not historic,Concrete,5,91.4,11.6,50,23
010600013603132,Rural,2016,2,6000,Not historic,Concrete,5,91.4,11.6,13,24
010600013603133,Rural,2016,2,5000,Not historic,Concrete,2,45.7,9.6,14,23
010600013603134,Rural,2016,2,5000,Not historic,Concrete,3,54.9,9.6,14,24
010600013603135,Rural,2016,2,5000,Not historic,Concrete,3,54.9,9.6,14,23
010600013603136,Rural,2016,2,5000,Not historic,Concrete,5,103.6,9.3,13,23
010600013603137,Rural,2016,2,5000,Not historic,Concrete,3,51.8,11.6,13,24
010600013604058,Rural,1938,2,1980,Possible,Concrete,8,48.8,12.6,19,20
010600013604059,Rural,1938,2,2310,Possible,Concrete,8,48.8,12.6,16,19
010600013604062,Rural,1938,2,3690,Possible,Concrete,7,42.7,13,14,20
010600013604079,Rural,1958,2,3560,Possible,Concrete,9,109.7,8.4,15,17
010600013604101,Rural,1983,2,3690,Not historic,Concrete,5,48.8,11.8,14,18
010600013604102,Rural,1983,2,3560,Not historic,Concrete,5,61,11.8,15,19
010600013604126,Rural,2008,2,1980,Not historic,Concrete,3,54.9,15,19,22
010600013604128,Rural,2008,2,2050,Not historic,Concrete,3,73.2,11.3,18,23
010600013604129,Rural,2008,2,2050,Not historic,Concrete,3,73.2,15,18,22
010600039903011,Rural,1954,2,120,Possible,Concrete,3,22.9,7.1,8,20
010600039903013,Rural,1962,2,420,Possible,Concrete,6,45.7,7.1,10,21
010600039903015,Rural,1962,2,420,Possible,Concrete,4,30.5,7.1,10,19
010600040001016,Rural,1948,2,3790,Possible,Concrete,30,228.6,12.6,16,19
010600040001030,Rural,1986,2,3790,Not historic,Concrete,1,365.8,12.6,16,20
010600040001032,Rural,1990,2,860,Not historic,Concrete,2,76.2,13.6,26,21
010600052501006,Rural,2016,2,2500,Not historic,Concrete,3,91.4,13.3,26,24
010600073501017,Rural,1954,2,100,Possible,Concrete,3,22.9,7,16,21
010600073501025,Rural,1962,2,270,Possible,Concrete,5,38.1,7,9,20
010600074903018,Rural,1949,2,230,Possible,Steel,3,106.4,7.3,9,18
010600076301005,Rural,1959,2,110,Possible,Concrete,2,15.2,7.1,21,20
010600076301006,Rural,1959,2,110,Possible,Concrete,1,7.6,7.2,21,21
010600076301008,Rural,1990,2,250,Not historic,Concrete,1,21.3,8.5,9,22
010600109705014,Rural,1955,2,130,Possible,Concrete,2,15.2,7.1,23,18
010600109705017,Rural,1956,2,130,Possible,Concrete,3,22.9,7.1,23,20
010600117401009,Rural,1996,2,160,Not historic,Concrete,1,25.9,9.2,28,22
010600117401010,Rural,2007,2,490,Not historic,Concrete,1,21.3,9.1,18,23
010600117401011,Rural,2007,2,490,Not historic,Concrete,1,18.3,9.1,18,23
010600120301005,Rural,1990,2,330,Not historic,Concrete,1,42.7,8.5,10,21
010600120301006,Rural,1996,2,580,Not historic,Concrete,1,19.8,9.1,10,20
010600146302021,Rural,2004,2,230,Not historic,Concrete,3,36.6,8.9,10,22
010600146304018,Rural,1990,2,1450,Not historic,Concrete,3,64,12,10,22
010600146304019,Rural,1990,2,500,Not historic,Concrete,5,121.9,12,14,21
010600146501002,Rural,1990,2,60,Not historic,Concrete,1,16.8,8.5,8,23
010600200303005,Rural,2010,2,140,Not historic,Concrete,4,140.2,9.1,8,23
010600238501002,Rural,1960,2,250,Possible,Concrete,6,45.7,7.3,9,20
010600AA0101002,Rural,1970,1,20,Possible,Timber,1,8.5,4.8,0,18
010600AA0105001,Rural,2001,1,20,Not historic,Steel,1,7.9,6.1,0,18
010600AA0106002,Rural,2006,2,10,Not historic,Concrete,3,22.9,7.3,0,23
010600AA0112001,Rural,2001,1,10,Not historic,Steel,1,6.1,6.1,0,21
010600AA0113001,Rural,1945,1,10,Possible,Steel,2,12.5,6.6,0,17
010600AA0128001,Rural,1997,1,30,Not historic,Steel,1,18,5.6,0,18
010600AA0129001,Rural,1999,2,30,Not historic,Concrete,1,18,7.1,0,22
010600AA0138001,Rural,2013,2,20,Not historic,Concrete,1,15.2,7.2,0,23
010600AA0143001,Rural,2002,1,40,Not historic,Steel,1,7.3,5.6,0,18
010600AA0156002,Rural,2013,2,10,Not historic,Concrete,1,13.7,7.2,0,23
010600AA0168001,Rural,1999,2,10,Not historic,Concrete,3,40.2,7.1,0,21
010600AA0168002,Rural,1999,2,10,Not historic,Concrete,2,24.4,7.1,0,21
010600AA0170002,Rural,2001,1,10,Not historic,Steel,1,6.1,6.1,0,21
010600AA0173001,Rural,1990,1,40,Not historic,Steel,3,13.7,6.1,0,16
010600AA0173002,Rural,2003,2,20,Not historic,Concrete,1,18.3,7.3,0,24
010600AA0180001,Rural,2004,2,70,Not historic,Concrete,1,12.2,7.3,0,23
010600AA0180002,Rural,2003,2,70,Not historic,Concrete,1,12.2,7.3,0,21
010600AA0194002,Rural,1992,1,10,Not historic,Steel,4,21.9,4.9,0,16
010600AA0215001,Rural,1921,1,40,Possible,Steel,2,11,4.8,0,16
010600AA0215003,Rural,1921,1,70,Register,Steel,1,39.6,4.3,0,22
010600AA0228001,Rural,2013,2,30,Not historic,Concrete,2,18.3,7.3,0,20
010600AA4380001,Urban,1995,2,50,Not historic,Steel,1,11.9,7.3,0,21
010750004505027,Rural,1933,2,2500,Possible,Concrete,5,43.6,9.1,5,18
010750004506033,Rural,1931,2,2760,Possible,Concrete,16,139,13,21,18
010750004506034,Rural,1931,2,2760,Possible,Concrete,6,52.1,13,21,19
010750004506036,Rural,1931,2,2410,Possible,Concrete,6,52.1,13,16,21
010750004506038,Rural,1924,2,1390,Possible,Concrete,7,38.4,11.8,15,17
010750004506039,Rural,1924,2,1390,Possible,Concrete,5,27.4,11.8,15,18
010750004520040,Rural,2000,2,2400,Not historic,Concrete,4,92.1,9.5,15,21
010750004520177,Rural,1994,2,4900,Not historic,Concrete,1,64,13.2,17,21
010750004520191,Rural,2001,2,8000,Not historic,Concrete,3,83.8,13.2,0,21
010750004520219,Urban,1998,2,5250,Not historic,Concrete,3,86.9,13.2,4,20
010750004520230,Rural,1998,3,5250,Not historic,Concrete,3,73.2,17,4,21
010750004521159,Urban,1990,2,5910,Not historic,Concrete,8,195.1,13.4,16,21
010750004521160,Rural,1990,2,5910,Not historic,Concrete,10,280.4,13.4,16,20
010750004521161,Rural,1990,2,5910,Not historic,Concrete,5,134.1,13.4,16,20
010750004521162,Rural,1990,2,5910,Not historic,Concrete,5,134.1,13.4,16,19
010750017403040,Rural,1994,2,830,Not historic,Concrete,3,86.9,9.1,11,20
010750017403046,Rural,2004,2,840,Not historic,Concrete,5,137.2,11.9,11,20
010750017404037,Rural,1984,2,1060,Not historic,Concrete,3,31.4,10.4,10,20
010750017404038,Rural,1984,2,710,Not historic,Concrete,6,74.7,10.4,10,18
010750017404042,Rural,1994,2,190,Not historic,Concrete,3,59.4,9.1,9,21
010750017404043,Rural,1994,2,190,Not historic,Concrete,3,64,9.1,9,21
010750017404044,Rural,1996,2,120,Not historic,Concrete,3,103.6,9.1,8,19
010750020202028,Rural,1958,2,410,Possible,Concrete,3,27.4,7.8,17,20
010750020202029,Rural,1958,2,740,Possible,Concrete,3,27.4,7.8,10,20
010750020202030,Rural,1958,2,740,Possible,Concrete,3,27.4,7.8,10,20
010750020203045,Rural,2004,2,8000,Not historic,Concrete,2,85.3,13.2,16,20
010750027902001,Rural,1934,2,4600,Possible,Steel,4,24.4,13.4,28,17
010750027902002,Rural,1934,2,4600,Possible,Steel,4,24.4,13.4,28,18
010750027902003,Rural,1934,2,2430,Possible,Steel,10,61,13.4,13,18
010750027902024,Rural,1938,2,4600,Register,Steel,8,643.7,7.3,28,15
010750027903016,Urban,1938,2,3120,Possible,Concrete,5,30.5,12.1,13,18
010750027903020,Rural,1947,2,1810,Possible,Steel,3,159.1,7.9,28,18
010750051005010,Rural,1960,2,950,Possible,Concrete,3,36.6,7.2,11,19
010750051005013,Rural,1960,2,590,Possible,Concrete,5,61,7.2,10,18
010750051006016,Rural,1969,2,2030,Possible,Concrete,5,46.3,12.2,10,20
010750051006017,Rural,1969,2,2030,Possible,Concrete,3,27.7,12.2,10,21
010750051006018,Rural,1969,2,2030,Possible,Concrete,2,18.6,12.2,10,20
010750054902011,Rural,1958,2,6650,Possible,Concrete,5,49.1,13.3,12,18
010750054902018,Rural,1962,2,8220,Possible,Concrete,5,61,13.2,12,20
010750062001001,Rural,1943,2,310,Register,Concrete,6,57,7.2,10,18
010750062001002,Rural,1943,2,210,Possible,Concrete,5,85.3,7.2,0,16
010750069001008,Rural,1985,2,720,Not historic,Concrete,3,55.2,12.2,15,21
010750076401005,Rural,1949,2,450,Possible,Concrete,3,22.9,6.5,6,20
010750076401006,Rural,1949,2,450,Possible,Concrete,3,22.9,6.5,6,18
010750076401007,Rural,1949,2,450,Possible,Concrete,3,22.9,6.5,6,18
010750076404009,Rural,1950,2,560,Possible,Concrete,4,30.5,6.5,10,20
010750076404013,Rural,1987,2,560,Not historic,Concrete,1,64,8.4,10,22
010750115401001,Rural,1940,2,470,Possible,Steel,2,10.7,6.7,10,18
010750115401009,Rural,1991,2,180,Not historic,Concrete,1,22.9,9.1,9,22
010750148201012,Rural,1991,2,260,Not historic,Concrete,3,27.7,9.1,9,20
010750148201015,Rural,2002,2,100,Not historic,Concrete,1,65.5,8.9,8,22
010750148201016,Rural,2002,2,100,Not historic,Concrete,1,65.5,8.9,8,24
010750148202011,Rural,1982,2,90,Not historic,Concrete,5,114.3,8.4,8,21
010750148202013,Rural,1991,2,90,Not historic,Concrete,6,146.3,9.1,8,20
010750148202014,Rural,1993,2,90,Not historic,Concrete,1,53.3,9.1,8,22
010750148801004,Rural,1966,2,290,Possible,Concrete,1,7.6,8,18,20
010750148801007,Rural,2007,2,200,Not historic,Concrete,1,24.4,8.8,9,23
010750170902006,Rural,1980,2,360,Not historic,Concrete,5,46.3,7.9,10,19
010750170902008,Rural,1980,2,1800,Not historic,Concrete,3,27.7,10.4,10,17
010750170902009,Rural,1985,2,360,Not historic,Concrete,5,46.3,8.5,10,19
010750188001001,Rural,1954,2,280,Possible,Concrete,5,38.1,7.1,25,18
010750188001002,Rural,1954,2,280,Possible,Concrete,4,30.5,7.1,25,17
010750197901002,Rural,1956,2,380,Possible,Concrete,10,91.4,6.9,10,16
010750213902002,Rural,1958,2,1390,Possible,Concrete,7,64,8.4,28,21
010750213902004,Rural,1958,2,1390,Possible,Concrete,3,27.4,8.4,28,21
010750213902035,Rural,1998,2,6740,Not historic,Concrete,3,67.7,13.1,12,18
010750213903013,Rural,1960,2,1140,Possible,Concrete,5,61,8.4,23,20
010750213903014,Rural,1960,2,1140,Possible,Concrete,3,36.6,8.4,23,19
010750273301001,Rural,1964,2,370,Possible,Concrete,5,61,7.3,0,19
010750279601002,Rural,1993,2,200,Not historic,Concrete,1,129.5,9.1,24,20
010750287401002,Rural,1966,2,500,Possible,Concrete,3,36.6,7.9,19,20
010750287401003,Rural,1966,2,360,Possible,Concrete,2,24.4,8,10,19
010750287401004,Rural,1996,2,500,Not historic,Concrete,1,42.7,9.1,19,22
010750294501002,Rural,1979,2,150,Not historic,Concrete,3,73.8,7.9,9,20
010750294501005,Rural,1989,2,160,Not historic,Concrete,2,48.8,8.4,8,21
010750313901001,Rural,1968,2,230,Possible,Concrete,7,85.3,7.9,9,17
010750AA0116001,Rural,2003,2,40,Not historic,Concrete,1,25.9,7.2,0,22
010750AA0117001,Rural,1995,1,20,Not historic,Steel,1,6.4,4.3,0,18
010750AA0122001,Rural,1988,1,60,Not historic,Steel,1,6.1,4.9,0,17
010750AA0124001,Rural,1968,1,20,Possible,Steel,2,11.6,4.4,0,15
010750AA0124002,Rural,1981,1,50,Not historic,Steel,1,7.3,4.8,0,18
010750AA0131001,Rural,2001,1,20,Not historic,Steel,3,18.3,4.7,0,19
010750AA0142001,Rural,1982,1,100,Not historic,Steel,2,15.2,4.8,0,19
010750AA0144001,Rural,1970,1,30,Possible,Steel,2,16.5,4.6,0,16
010750AA0152001,Rural,1992,1,10,Not historic,Steel,1,7.9,4.9,0,19
010750AA0154001,Rural,1984,1,30,Not historic,Steel,2,18.3,4.9,0,17
010750AA0157001,Rural,1992,1,20,Not historic,Steel,1,12.2,4.7,0,18
010750AA0161001,Rural,1982,1,40,Not historic,Steel,1,12.2,4.9,0,18
010750AA0166001,Rural,2005,2,90,Not historic,Concrete,1,22.9,7.2,0,23
010750AA0167005,Rural,2018,1,50,Not historic,Steel,1,15.2,4.6,0,20
010750AA0167006,Rural,2018,1,50,Not historic,Steel,1,12.2,4.6,0,20
010750AA0173001,Rural,1965,1,20,Possible,Steel,1,9.1,4.9,0,18
010750AA0211001,Rural,1989,1,40,Not historic,Steel,1,10.7,4.9,0,17
010750AA0218001,Rural,1959,2,20,Possible,Concrete,3,10.4,7.3,0,19
010750AA0219001,Rural,1997,2,90,Not historic,Concrete,1,24.4,7.3,0,23
010750AA0220001,Rural,2008,2,40,Not historic,Concrete,1,18.3,7.2,0,22
010750AA0229001,Rural,1992,1,10,Not historic,Steel,1,8.8,4.9,0,19
010750AA0237003,Rural,1989,1,40,Not historic,Steel,1,8.8,4.9,0,18
010750AA0237004,Rural,2015,2,30,Not historic,Concrete,1,19.8,7.3,0,24
010750AA0237005,Rural,2015,2,20,Not historic,Concrete,1,21.3,7.3,0,23
010750AA0239006,Rural,2015,2,40,Not historic,Concrete,1,22.9,7.3,0,24
010750AA0242002,Rural,1992,1,40,Not historic,Steel,3,18,4.9,0,19
010750AA0248001,Rural,1990,1,40,Not historic,Steel,1,8.8,3.7,0,14
010750AA0251001,Rural,1982,1,50,Not historic,Steel,1,9.1,4.9,0,19
010750AA0252002,Rural,2015,2,30,Not historic,Concrete,1,27.4,7.3,0,24
010750AA0267001,Rural,2003,2,20,Not historic,Concrete,1,8.5,7.3,0,23
010750AA0267002,Rural,2007,2,30,Not historic,Concrete,1,9.1,7.2,0,24
010750AA0267003,Rural,2008,2,10,Not historic,Concrete,1,12.2,7.3,0,22
010750AA0268001,Rural,2005,2,130,Not historic,Concrete,1,16.8,7.3,0,22
010750AA0271001,Rural,2011,2,80,Not historic,Concrete,1,18.3,7.2,0,24
010750AA0271002,Rural,2003,2,55,Not historic,Concrete,1,22.9,7.2,0,21
010750AA0272001,Rural,2006,2,10,Not historic,Concrete,1,24.4,7.3,0,22
010750AA0295001,Rural,1991,1,90,Not historic,Steel,2,10.7,6,0,17
010750AA0298001,Rural,1986,1,10,Not historic,Steel,1,15.2,4.3,0,18
010750AA0298002,Rural,2007,2,20,Not historic,Concrete,1,12.2,7.2,0,22
010750AA0299002,Rural,2011,2,50,Not historic,Concrete,1,19.8,7.3,0,22
010750AA0299003,Rural,2018,2,50,Not historic,Concrete,1,24.4,7.5,0,23
010750AA0305001,Rural,1987,1,50,Not historic,Steel,2,12.2,4.2,0,16
010750AA0315001,Rural,1980,1,50,Not historic,Steel,2,12.2,5.9,0,19
010750AA0318001,Rural,1991,1,50,Not historic,Steel,2,12.2,4.4,0,19
010750AA0330001,Rural,1980,1,10,Not historic,Steel,1,18.3,4.3,0,16
010750AA0337001,Rural,2004,2,110,Not historic,Concrete,1,33.5,7.2,0,22
010750AA0340001,Rural,1985,1,40,Not historic,Steel,3,18.3,4.9,0,18
010750AA0342001,Rural,1991,1,60,Not historic,Steel,1,9.1,5.4,0,19
010750AA0349001,Rural,1989,1,50,Not historic,Steel,1,12.8,4.9,0,17
010750AA0353001,Rural,1988,1,40,Not historic,Steel,2,18.3,4.9,0,18
010750AA0353002,Rural,1987,1,40,Not historic,Steel,1,6.1,4.9,0,17
010750AA0356001,Rural,1990,1,30,Not historic,Steel,1,11.9,4.9,0,17
010750AA0373001,Rural,1995,1,130,Not historic,Steel,1,7.9,5,0,16
010750AA0380001,Rural,1990,1,70,Not historic,Steel,1,8.8,4.6,0,19
010750AA0388001,Rural,1991,1,40,Not historic,Steel,1,9.1,4.9,0,18
010750AA0389001,Rural,1989,1,40,Not historic,Steel,2,7.9,4.9,0,18
010750AA0389002,Rural,1980,1,40,Not historic,Steel,2,10.1,4.9,0,19
010750AA0390002,Rural,2015,2,30,Not historic,Concrete,1,21.3,7.3,0,24
010750AA0398001,Rural,1970,1,70,Possible,Steel,1,9.4,4.8,0,17
010750AA0399001,Rural,1992,1,60,Not historic,Steel,1,11.9,4.6,0,20
010750AA0420001,Rural,2011,2,40,Not historic,Concrete,1,9.1,7.3,0,24
010750AA0429001,Rural,2007,2,10,Not historic,Concrete,1,15.2,7.2,0,24
010750AA0442002,Rural,2015,2,20,Not historic,Concrete,1,21.3,7.1,0,23
010750AA0451002,Rural,1987,1,10,Not historic,Steel,1,8.8,4.9,0,19
010750AA0451003,Rural,2016,2,10,Not historic,Concrete,1,15.2,7.4,0,24
010750AA0452001,Rural,2007,2,50,Not historic,Concrete,1,15.2,7.2,0,23
010750AA0456001,Rural,1982,1,20,Not historic,Steel,1,6.7,4.2,0,18
010750AA0466001,Rural,2003,2,30,Not historic,Concrete,1,18.3,7.2,0,22
010750AA0474001,Rural,1985,1,60,Not historic,Steel,2,18.3,4,0,17
010750AA0485001,Rural,1997,2,140,Not historic,Concrete,1,25.9,7.1,0,22
010750AA0491002,Rural,2015,2,10,Not historic,Concrete,1,15.2,7.3,0,24
010750AA0493002,Rural,2016,2,10,Not historic,Concrete,1,15.2,7.4,0,24
010750AA0495001,Rural,1990,1,20,Not historic,Steel,3,8.5,5.1,0,18
010750AA0509001,Rural,2001,2,20,Not historic,Steel,1,6.4,6.1,0,20
010750AA0511001,Rural,2008,2,10,Not historic,Concrete,1,15.2,7.3,0,22
010750AA0515001,Rural,2011,2,50,Not historic,Concrete,1,15.2,7.3,0,23
010750AA0516001,Rural,2000,2,70,Not historic,Steel,1,12.2,6.3,0,22
010750AA0520001,Rural,2006,2,20,Not historic,Concrete,1,16.8,7.3,0,22
010750AA0523001,Rural,2003,1,20,Not historic,Steel,3,12.2,4.9,0,19
010750AA0523002,Rural,1988,1,10,Not historic,Steel,1,12.2,5,0,18
010750AA0535001,Rural,1990,1,60,Not historic,Steel,3,18.3,4.4,0,18
010750AA0537001,Rural,1965,1,30,Possible,Steel,1,6.7,4.1,0,19
010750AA0537002,Rural,2011,2,20,Not historic,Concrete,1,21.3,7.2,0,22
010750AA0540001,Rural,2007,2,140,Not historic,Concrete,1,13.7,7.3,0,22
010750AA0542001,Rural,1990,1,20,Not historic,Steel,1,12.2,4.3,0,17
010750AA0549001,Rural,1973,1,60,Possible,Steel,1,7.6,4.8,0,18
010750AA0553001,Rural,2005,2,230,Not historic,Concrete,1,15.2,7.3,2,22
010750AA0559001,Rural,1995,1,60,Not historic,Steel,2,15.2,5.3,0,16
010750AA0560002,Rural,2011,2,20,Not historic,Concrete,1,33.5,7.2,0,23
010750AA0565002,Rural,1988,1,10,Not historic,Steel,2,12.2,4.9,0,18
010750AA0566001,Rural,2013,2,10,Not historic,Concrete,1,19.8,7.3,0,23
010750AA0566004,Rural,2007,2,10,Not historic,Concrete,1,25.9,7.3,0,23
010750AA0584001,Rural,2011,2,10,Not historic,Concrete,1,25.9,7.2,0,22
010750AA0585001,Rural,2011,2,10,Not historic,Concrete,1,35.1,7.3,0,23
010750AA0619001,Rural,1998,1,50,Not historic,Steel,2,12.2,4.8,0,19
010750AA0621001,Rural,2013,2,50,Not historic,Concrete,3,50.3,7.3,0,22
010750AA0624001,Rural,2008,2,10,Not historic,Concrete,1,10.7,7.3,0,22
010750AA0624002,Rural,1997,1,20,Not historic,Steel,1,7.3,4.3,0,16
010750AA0624003,Rural,2008,2,10,Not historic,Steel,1,7.9,5.9,0,19
010750AA0630001,Rural,2008,2,10,Not historic,Concrete,1,12.2,7.2,0,22
010750AA0634001,Rural,1986,1,10,Not historic,Steel,2,22.9,4.3,0,17
010750AA0634002,Rural,1997,1,10,Not historic,Steel,1,12.5,4.4,0,18
010750AA0634003,Rural,1997,1,10,Not historic,Steel,1,6.1,4.8,0,17
010750AA0637001,Rural,2013,2,30,Not historic,Concrete,1,13.7,7.3,0,22
010750AA0645001,Rural,1995,1,20,Not historic,Steel,1,7.6,4.9,0,18
010750AA0645002,Rural,2013,2,20,Not historic,Concrete,1,10.7,7.3,0,22
010750AA0648001,Rural,2013,2,20,Not historic,Concrete,1,19.8,7.3,0,23
010750AA0652001,Rural,2007,2,20,Not historic,Concrete,1,16.8,7.3,0,22
010750AA0656001,Rural,1989,1,40,Not historic,Steel,1,9.1,4.6,0,18
010750AA0660001,Rural,2005,1,40,Not historic,Steel,1,11.6,4.8,0,20
010750AA0677001,Rural,2006,2,80,Not historic,Concrete,1,24.4,7.3,0,24
010750AA0678001,Rural,1990,1,30,Not historic,Steel,1,12.2,4.3,0,13
010750AA0680001,Rural,1995,1,60,Not historic,Steel,1,9.4,5,0,19
010750AA0681001,Rural,2003,2,20,Not historic,Steel,1,24.4,6.1,0,21
010750AA0688001,Rural,1991,1,30,Not historic,Steel,1,7.6,4.3,0,18
010750AA4131001,Rural,2001,1,20,Not historic,Steel,1,10.7,4.3,0,18
010750AA4142001,Rural,2004,1,20,Not historic,Steel,1,18.3,5.6,0,20
010750AA4526001,Rural,1985,1,70,Not historic,Steel,1,9.1,4.3,0,16
010750AA4526002,Rural,2000,1,70,Not historic,Steel,1,6.1,4.9,0,17
010750AA4900002,Rural,2017,2,60,Not historic,Concrete,1,21.3,7.5,0,24
010750AA5005001,Rural,2013,2,50,Not historic,Concrete,1,30.5,7.3,0,22
010750B00325001,Urban,1950,2,140,Possible,Concrete,2,13.4,7.3,0,18
010750F00025001,Rural,1991,1,40,Not historic,Steel,1,9.4,5.4,0,20
010810001004085,Rural,1942,2,1120,Possible,Concrete,20,152.4,7.9,14,17
010810001004086,Rural,1942,2,1120,Possible,Concrete,14,106.7,7.9,14,17
010810018905046,Rural,1976,2,1560,Possible,Concrete,5,46.3,13.4,22,21
010810018905047,Rural,1981,2,1870,Not historic,Concrete,2,18.6,13.4,28,21
010810018905048,Rural,1981,2,1870,Not historic,Concrete,9,83.2,13.4,28,21
010810018905049,Rural,1981,2,1870,Not historic,Concrete,11,110.6,13.4,28,20
010810018905050,Rural,1981,2,1870,Not historic,Concrete,12,110.9,13.4,28,21
010810019001033,Rural,1957,2,2520,Possible,Concrete,4,36.9,8.5,16,19
010810019001034,Rural,1957,2,2520,Possible,Concrete,5,46.3,8.5,16,19
010810022104056,Rural,2009,4,4750,Not historic,Concrete,5,121.9,25.4,22,22
010810061002004,Rural,1963,2,24030,Possible,Concrete,4,64.3,7.3,0,21
010810061002005,Rural,1963,2,12010,Possible,Concrete,12,110.9,11.1,34,18
010810061002006,Rural,1963,2,12010,Possible,Concrete,12,110.9,11.1,34,18
010810061002011,Rural,1963,2,12010,Possible,Concrete,9,83.2,11.1,34,19
010810061002012,Rural,1963,2,12010,Possible,Concrete,9,83.2,11,34,19
010810061002014,Rural,1963,2,12010,Possible,Concrete,3,30.8,11.1,34,18
010810061002015,Rural,1963,2,12010,Possible,Concrete,3,27.7,11,34,19
010810061002016,Rural,1963,2,12010,Possible,Concrete,3,27.7,11,34,20
010810061002017,Rural,1963,2,330,Possible,Concrete,3,27.7,7.3,28,19
010810061002018,Rural,1963,2,440,Possible,Concrete,3,27.7,7.3,34,20
010810061002020,Rural,1963,2,11290,Possible,Concrete,3,30.8,11.1,32,18
010810061002021,Rural,1963,2,11290,Possible,Concrete,3,30.8,11.1,32,18
010810061002075,Rural,1963,2,11790,Possible,Concrete,3,30.8,11.1,27,18
010810061002076,Rural,1963,2,11790,Possible,Concrete,3,30.8,11.1,27,19
010810061002077,Rural,1963,2,23590,Possible,Concrete,2,67.7,7.3,0,21
010810061002192,Rural,2004,4,6800,Not historic,Concrete,4,67.1,20.6,14,22
010810072301014,Rural,1975,2,780,Possible,Concrete,7,64.6,10.4,9,20
010810AA0104001,Rural,2006,2,30,Not historic,Concrete,1,30.5,7.2,0,22
010810AA0107002,Rural,2006,2,70,Not historic,Concrete,1,15.2,7.2,0,22
010810AA0107004,Rural,2006,2,50,Not historic,Concrete,1,22.9,7.2,0,23
010810AA0107005,Rural,2010,1,50,Not historic,Steel,1,11.9,6,0,20
010810AA0112002,Rural,2000,1,30,Not historic,Steel,2,17.4,5.9,0,19
010810AA0112007,Rural,2015,2,70,Not historic,Concrete,1,22.9,7.3,0,22
010810AA0123001,Rural,1989,1,100,Not historic,Steel,1,12.2,4.3,0,17
010810AA0130002,Rural,1999,1,80,Not historic,Steel,1,9.4,5.9,0,20
010810AA0141001,Rural,1988,1,40,Not historic,Steel,1,12.8,4.6,0,16
010810AA0141002,Rural,1986,1,40,Not historic,Steel,1,13.7,3.9,0,17
010810AA0143001,Rural,1995,1,30,Not historic,Steel,1,14.9,5.9,0,19
010810AA0156001,Rural,2001,1,140,Not historic,Steel,1,11,5.3,0,19
010810AA0182001,Rural,2006,2,40,Not historic,Concrete,1,15.2,7.2,0,23
010810AA0217001,Rural,2006,2,100,Not historic,Concrete,1,15.2,7.2,0,23
010810AA0223001,Rural,2006,1,90,Not historic,Steel,1,15.2,6,0,22
010810AA0224001,Rural,2003,1,60,Not historic,Steel,1,15.9,5.9,0,21
010810AA0225001,Rural,2012,2,50,Not historic,Concrete,1,18.3,7.3,0,22
010810AA0235001,Rural,1995,1,140,Not historic,Steel,1,7.6,4.8,0,20
010810AA0237001,Rural,2002,1,180,Not historic,Steel,1,11,5.9,0,22
010920004502012,Rural,1930,2,2350,Possible,Concrete,2,19.8,13.3,6,18
010920004503153,Urban,1945,2,9130,Possible,Steel,1,18.9,10.9,6,18
010920004503185,Urban,2001,2,11550,Not historic,Concrete,2,54,11.3,6,23
010920004503193,Urban,2001,2,9130,Not historic,Concrete,1,20.4,9.1,6,22
010920004503247,Urban,2009,2,10250,Not historic,Concrete,1,38.1,14.4,15,21
010920004503248,Urban,2010,2,1000,Not historic,Concrete,3,71.3,13.8,5,21
010920004504242,Rural,2004,2,4780,Not historic,Concrete,7,160,13.2,6,22
010920004504243,Rural,2005,2,4780,Not historic,Concrete,1,57.9,13.2,6,22
010920004518119,Rural,1970,2,7520,Possible,Concrete,1,42.7,12.2,2,22
010920004518123,Rural,1970,2,8460,Possible,Concrete,3,111.3,12.2,2,20
010920004518124,Rural,1970,2,8460,Possible,Concrete,3,111.3,12.2,2,21
010920004518126,Rural,1970,2,8460,Possible,Concrete,1,50.3,12.2,2,21
010920004518128,Rural,1971,2,8610,Possible,Concrete,5,61,12.8,2,21
010920004518129,Rural,1971,2,8610,Possible,Concrete,5,61,12.8,2,20
010920004518130,Rural,1971,2,8610,Possible,Concrete,6,80.2,12.8,2,18
010920004518131,Rural,1971,2,8610,Possible,Concrete,6,80.2,12.8,2,18
